Date,Open,Close,High,Low,Volume,WilliamR,Momentum_14,RSI_14,CCI_20,ADX_14_14,MACD_26_12,KST_10_15_20_30_10_10_10_15,TSI_25_13,ACCDIST_14,Chaikin,MFI_14,EoM_14,COPP_14,KelChM_20,KelChU_20,KelChD_20
3/13/2006,577.5,568.79,583.0,566.51,2291610.0,,,,,,,,,,,,,,,,
3/14/2006,570.0,564.38,574.9,561.05,1975330.0,,,,,,,,,,,,,,,,
3/16/2006,568.0,563.06,573.9,561.1,1609400.0,,,,,,,,,,,,,,,,
3/17/2006,568.5,562.39,569.99,560.0,1036160.0,,,,,,,,,,,,,,,,
3/20/2006,567.0,556.75,567.0,554.01,984950.0,,,,,,,,,,,,,,,,
3/21/2006,557.87,567.69,583.3,555.9,3642450.0,,,,,,,,,,,,,,,,
3/22/2006,568.7,563.43,572.4,559.13,1486870.0,,,,,,,,,,,,,,,,
3/23/2006,565.0,563.15,570.5,560.0,837600.0,,,,,,,,,,,,,,,,
3/24/2006,565.0,567.5,570.55,563.5,935100.0,,,,,,,,,,307214.5730080454,,,,,,
3/27/2006,570.0,565.85,580.4,560.61,1582750.0,,,,,,,,,,73021.1160967017,,,,,,
3/28/2006,569.9,555.67,571.5,551.11,1793350.0,,,,,,0.324242721040946,,,,-101249.23479821405,,,,,,
3/29/2006,558.0,550.69,561.29,548.0,1291150.0,,,,,,0.95635977254517,,,,-94934.93278125848,,,,,,
3/30/2006,555.0,553.67,559.0,548.0,3109970.0,,,0.4854344889750999,,,1.2441336479739675,,,,179319.6628788298,,,,,,
3/31/2006,555.0,567.48,584.0,549.0,2468450.0,-45.88888888888884,,0.7580641689081218,,,0.6430028064763746,,,-1.0833780751727422,286492.8365584184,0.35714285714285715,,,,,
4/3/2006,568.8,607.18,614.99,568.8,4521880.0,-11.65845648604278,38.389999999999986,0.8623654170022713,,,-2.1744063798282696,,,-3.918419597217887,1184527.270982191,0.42857142857142855,1.546221707966963e-05,,,,
4/4/2006,613.0,608.53,622.0,603.51,2593160.0,-18.202702702702737,44.14999999999998,0.8762858584199125,,,-4.366786205709786,,,0.06140741814217389,141835.58898344846,0.5,2.9481921892217412e-05,,,,
4/5/2006,611.88,620.51,623.0,604.0,2125210.0,-3.320000000000012,57.450000000000045,0.8783116938868789,,,-6.725966907905672,,,-3.9019986471725865,563118.439232939,0.5714285714285714,3.0227516438501742e-05,,,,
4/7/2006,624.37,603.46,626.9,599.0,2496730.0,-29.708491761723632,41.07000000000005,0.8024981536609327,,,-7.375148346240849,,,1.9827620852398464,-340226.29223902803,0.5714285714285714,3.151362987727255e-05,,,,
4/10/2006,605.5,611.41,616.9,575.1,1414510.0,-19.63244613434729,54.65999999999997,0.5436709002820624,,,-8.294327997606729,,,-3.0537897198697967,183799.08340891782,0.5714285714285714,-3.429352548082316e-08,,,,
4/12/2006,615.0,599.76,631.0,590.15,2232800.0,-37.63855421686748,32.069999999999936,0.6258219919531605,95.13591367739508,,-8.143295689916158,,,1.2594114505316623,-319869.19340431486,0.5714285714285714,1.4125659573013181e-05,,576.9391666666667,597.8411666666665,556.0371666666667
4/13/2006,601.1,574.62,609.9,556.1,2557700.0,-67.92771084337349,11.190000000000055,0.41676255483744745,9.177956748193514,,-6.265758834032454,,,1.3781797790109922,-374515.7492588203,0.5714285714285714,-2.486008429694476e-05,,577.3111666666666,600.0786666666665,554.5436666666667
4/17/2006,583.63,580.69,586.0,570.0,1366510.0,-60.61445783132523,17.540000000000077,0.4167625548374475,3.1263650051240863,,-5.144643988957796,,,2.6465532668894287,34409.462111808316,0.5714285714285714,-2.8580609358939363e-05,,577.9171666666667,600.7921666666665,555.0421666666668
4/18/2006,585.0,586.39,593.5,580.6,1044730.0,-53.74698795180725,18.889999999999986,0.4688001109775057,25.254807561136722,,-4.6014222833752,,,-0.8564272305390637,19123.304896291258,0.5714285714285714,-2.1554586709775128e-05,,578.9576666666667,601.8376666666666,556.0776666666668
4/19/2006,589.0,580.26,592.3,577.0,1093860.0,-61.132530120481945,14.409999999999968,0.4467250968920601,10.65350805704587,,-3.703783889058286,,,-0.3667239274194986,-153811.43639038998,0.5,-2.706041264127963e-05,,579.9106666666667,603.0561666666665,556.7651666666668
4/20/2006,585.0,595.17,605.5,580.5,1595870.0,-43.16867469879523,39.5,0.5386376396486626,40.061680246260345,,-3.9985263646578915,,,-1.3605114224096706,76334.83961149797,0.5714285714285714,-1.024552722380421e-05,,581.6341666666666,605.3801666666665,557.8881666666668
4/21/2006,605.0,586.76,605.0,582.5,1221450.0,-53.30120481927712,36.069999999999936,0.5386376396486625,28.877372866389027,0.19943471834113832,-3.590587974939467,,,-8.895105097478735,-165152.5574093826,0.5714285714285714,-4.362104160612041e-06,,582.757,606.2579999999998,559.2560000000001
4/24/2006,589.89,571.67,597.5,568.5,1077440.0,-72.35365853658541,18.0,0.4362935970574172,-14.453198112292757,0.21391552306894598,-2.1611791343981395,,,-7.0903554582974175,-275152.0020352247,0.5,-2.474020271765577e-05,,583.4688333333334,607.7563333333331,559.1813333333334
4/25/2006,575.0,557.35,576.49,553.5,1719960.0,-95.0322580645161,-10.129999999999995,0.3533037063213238,-70.80299976704069,0.19271391361849535,0.00251024654903631,,,-1.3822261109037919,-390948.5744590061,0.42857142857142855,-5.509674901217252e-05,,583.3636666666667,608.2756666666666,558.4516666666668
4/26/2006,570.0,579.63,590.49,553.5,3857230.0,-66.28387096774195,-27.549999999999955,0.46325472696706627,-31.51439395175832,0.17692508781408697,0.08457370683470344,,,-2.3436344486047926,466442.639607013,0.42857142857142855,-6.883073486875834e-05,,583.7315000000001,610.1404999999999,557.3225000000001
4/27/2006,584.89,562.51,586.1,552.5,2462070.0,-87.2484076433121,-46.01999999999998,0.45685302765168856,-56.67533329280992,0.2432681686797368,1.3910820462626816,,,-1.6345482130788327,-47520.51045553951,0.35714285714285715,-8.20819345619815e-05,,583.6356666666668,610.7351666666666,556.5361666666668
4/28/2006,500.0,577.48,582.5,460.0,1915150.0,-31.298245614035075,-43.02999999999997,0.18459391304732597,-134.1545890033948,0.2867677105495835,1.3005219419321747,,,-2.035145028831929,621652.1569659553,0.2857142857142857,-0.00030209009847064313,,582.6640000000002,614.8689999999999,550.4590000000001
4/29/2006,584.0,579.77,590.0,575.0,452110.0,-29.95906432748539,-23.690000000000055,0.22765497267638393,-8.26682245682693,0.32358533910542253,1.046151075997841,,,-1.1577913246418055,227550.71228279432,0.35714285714285715,-0.00015649836736523944,0.018746578429182363,584.0771666666669,616.3676666666665,551.7866666666667
5/2/2006,584.0,587.39,590.0,580.0,1104640.0,-25.502923976608194,-24.019999999999982,0.22765497267638393,0.38269524909551506,0.3327644208444437,0.2709752294122154,,,-1.4466161052309157,265854.5589046733,0.42857142857142855,-0.00011910415017363225,0.005063688008196294,585.6891666666669,617.9296666666665,553.4486666666668
5/3/2006,589.9,598.75,602.0,580.14,1596380.0,-7.438292194796517,-1.009999999999991,0.30575308198023776,24.099955915151643,0.3308657107228131,-1.1841086976322686,,,-2.4077839000182135,446117.8372833452,0.42857142857142855,-0.00013221388044921676,0.0016781527575730653,587.0293333333336,618.6128333333332,555.4458333333334
5/4/2006,602.4,592.75,607.4,584.01,1376660.0,-9.938941655359553,18.129999999999995,0.34038527004940655,28.585235879024456,0.3292446195465714,-1.8593399942405995,,,-1.75702260116735,11928.390974833193,0.5,-8.51583470435298e-05,-0.0004945039266098693,586.9158333333336,617.3593333333332,556.4723333333335
5/5/2006,593.7,591.85,601.5,589.3,784260.0,-10.54952510176388,11.159999999999968,0.3403852700494065,31.29900167410324,0.3282042371136905,-2.2984310856127195,,0.03550664539401065,3.26943392115364,-201291.37941736451,0.5,-8.131558301341816e-05,-0.0004261039088133835,586.0593333333336,616.1883333333333,555.9303333333335
5/8/2006,598.9,591.63,601.0,589.0,617790.0,-10.69877883310718,5.240000000000009,0.3391339725509824,37.062455954388724,0.33572845272939617,-2.5989051662719476,,0.042062445953009196,-0.4472169749790363,-235399.73026140124,0.42857142857142855,-8.985245487964814e-05,-0.003707758373331553,584.9613333333336,614.7403333333333,555.1823333333335
5/9/2006,595.0,590.84,596.0,582.0,592070.0,-11.234735413839857,10.580000000000041,0.3085918661922847,25.169500403166047,0.33461792440573657,-2.7442395970017515,,0.04627377497681101,-0.4382467321125976,-68064.85415950175,0.42857142857142855,-9.758859207903276e-05,-0.002708182795684122,583.9526666666669,613.0366666666666,554.8686666666669
5/10/2006,587.5,590.04,598.8,587.0,329410.0,-11.777476255088207,-5.1299999999999955,0.33618387889920365,38.66915865776129,0.3033486956056562,-2.7655585862661383,,0.04864208233940842,-0.7895977143341257,-93727.30231632601,0.42857142857142855,-9.6953025947601e-05,0.0002270649465017954,583.4931666666669,611.0771666666666,555.9091666666669
5/11/2006,596.49,599.68,611.0,585.1,1341550.0,-7.496688741721888,12.919999999999959,0.44711074700839026,74.04921734474941,0.28186629434022814,-3.4869076945916504,,0.062330007993903744,-1.2005717192839913,8813.108391680391,0.5,-9.083799095109848e-05,0.007818923487393875,583.0743333333337,609.9108333333332,556.2378333333335
5/12/2006,590.1,597.49,608.5,582.15,1159980.0,-8.947019867549663,25.82000000000005,0.4271937464855128,56.99633953347789,0.2911810187508748,-3.843737064264019,,0.07049482407577286,-1.1666367999994656,56879.85082907888,0.5,-7.459210478292459e-05,0.015612394169238202,583.8663333333336,609.3303333333333,558.4023333333334
5/15/2006,597.5,569.49,605.0,564.05,1309120.0,-27.490066225165556,12.139999999999986,0.32477205483962945,-20.528955092269786,0.3366924407217725,-1.9267435278283074,,0.03835302485899178,-1.6037105122999642,-295101.4707747776,0.5,-8.153242915040329e-05,0.013905160063170075,583.897166666667,610.6086666666666,557.1856666666667
